race,Year,obs,%pp_race/year,ind
6,2017,1,0.00001,4
1,1950,26225,1.853793154,5
1,1960,235468,16.64476516,5
1,1970,39221,2.772454578,5
1,1980,258952,18.30480247,5
1,1990,266384,18.83015579,5
1,2000,290116,20.50772373,5
1,2010,69909,4.941728336,5
1,2015,1,0.00001,5
1,2017,1,0.00001,5
2,1950,2191,0.154877438,5
2,1960,18792,1.32836915,5
2,1970,4007,0.28324687,5
2,1980,44785,3.165762685,5
2,1990,44101,3.117412084,5
2,2000,52255,3.693802146,5
2,2010,12167,0.86006106,5
2,2015,1,0.00001,5
2,2017,1,0.00001,5
3,1950,62,0.004382657,5
3,1960,629,0.04446276,5
3,1970,264,0.018661636,5
3,1980,4155,0.293708696,5
3,1990,96,0.006786049,5
3,2000,6498,0.459330712,5
3,2010,1639,0.115857654,5
3,2015,1,0.00001,5
3,2017,1,0.00001,5
4,1950,85,0.006008481,5
4,1960,2094,0.1480207,5
4,1970,497,0.035131943,5
4,1980,5257,0.371606887,5
4,1990,7202,0.509095073,5
4,2000,8830,0.624175159,5
4,2010,429,0.030325158,5
4,2015,1,0.00001,5
4,2017,1,0.00001,5
5,1950,4,0.000282752,5
5,1960,590,0.041705928,5
5,1970,51,0.003605089,5
5,1980,1004,0.070970766,5
5,1990,7391,0.522455108,5
5,2000,9,0.000636192,5
5,2010,1708,0.120735127,5
5,2015,1,0.00001,5
5,2017,1,0.00001,5
6,1950,1,0.00001,5
6,1960,1,0.00001,5
6,1970,1,0.00001,5
6,1980,347,0.024528741,5
6,1990,1066,0.075353422,5
6,2000,137,0.009684258,5
6,2010,50,0.003534401,5
6,2015,1,0.00001,5
6,2017,1,0.00001,5
