"State","obs","perc_job/ind","ind"
"1","9288","1.57274717682737","1"
"2","1360","0.23029028428996","1"
"4","5784","0.97941103259792","1"
"5","11069","1.8743258505924","1"
"6","59765","10.1200726769044","1"
"8","9405","1.59255891451997","1"
"9","2585","0.43772087124233","1"
"10","1152","0.19506941728091","1"
"11","282","0.04775136777189","1"
"12","22059","3.73527454496502","1"
"13","14172","2.39976022717459","1"
"15","2746","0.46498317695607","1"
"16","7614","1.28928692984104","1"
"17","22220","3.76253685067876","1"
"18","12262","2.07633784262029","1"
"19","22138","3.74865170118481","1"
"20","13922","2.35742745432717","1"
"21","12081","2.04568891507876","1"
"22","8232","1.39393354431987","1"
"23","3546","0.60044805006781","1"
"24","5254","0.88966555416139","1"
"25","4254","0.72033446277171","1"
"26","14673","2.48459510396082","1"
"27","25670","4.34672911597317","1"
"28","10541","1.78491903433865","1"
"29","17582","2.97717924881341","1"
"30","7234","1.22494111511296","1"
"31","15667","2.65291020880216","1"
"32","1402","0.23740219012833","1"
"33","1417","0.23994215649918","1"
"34","5046","0.85444468715234","1"
"35","3891","0.65886727659725","1"
"36","19414","3.28739380823931","1"
"37","19066","3.2284665884357","1"
"38","8162","1.38208036792259","1"
"39","15228","2.57857385968209","1"
"40","10591","1.79338558890813","1"
"41","11122","1.88330039843605","1"
"42","18125","3.06912603143801","1"
"44","634","0.10735591194105","1"
"45","7674","1.29944679532443","1"
"46","9445","1.59933215817555","1"
"47","11727","1.98574570872681","1"
"48","41140","6.96628109977157","1"
"49","3439","0.58232962328912","1"
"50","2438","0.41282920080804","1"
"51","11140","1.88634835808107","1"
"53","14593","2.47104861664964","1"
"54","2360","0.39962137567965","1"
"55","27437","4.64593715445874","1"
"56","2511","0.42519037047949","1"
"1","65164","1.78467307513762","2"
"2","2004","0.054884366254","2"
"4","32071","0.87834157192221","2"
"5","39334","1.0772563184805","2"
"6","363717","9.96126598842663","2"
"8","33183","0.90879636996335","2"
"9","64572","1.76845972941788","2"
"10","11230","0.30756059532557","2"
"11","5054","0.13841596160066","2"
"12","88747","2.43055032532133","2"
"13","103358","2.83070774814429","2"
"15","5400","0.14789200487605","2"
"16","10962","0.30022076989839","2"
"17","204778","5.60833869898307","2"
"18","129774","3.5541735260713","2"
"19","47206","1.29284999669981","2"
"20","34549","0.94620756971533","2"
"21","52746","1.44457623873932","2"
"22","35493","0.97206128316033","2"
"23","19654","0.53827212293221","2"
"24","44212","1.21085209621853","2"
"25","107426","2.94211972515092","2"
"26","192346","5.26785843886842","2"
"27","72606","1.98849016778348","2"
"28","38780","1.06208369427655","2"
"29","80974","2.21766800052474","2"
"30","4525","0.12392802260447","2"
"31","18404","0.50403786254424","2"
"32","6541","0.17914103775819","2"
"33","19444","0.53252076718703","2"
"34","121090","3.31634127230396","2"
"35","7442","0.20381709264585","2"
"36","254141","6.96026333540838","2"
"37","138708","3.79885263191624","2"
"38","3855","0.10557845903651","2"
"39","229534","6.28634137911485","2"
"40","31358","0.8588143497969","2"
"41","41099","1.12559509414832","2"
"42","226071","6.191498784136","2"
"44","17757","0.48631820936742","2"
"45","65668","1.79847632892606","2"
"46","6275","0.17185598714763","2"
"47","91151","2.49638965489948","2"
"48","187512","5.13546770709605","2"
"49","20275","0.55527970349296","2"
"50","8488","0.2324643217385","2"
"51","74323","2.0355143478524","2"
"53","62778","1.71932671890906","2"
"54","19030","0.52118238014653","2"
"55","108228","2.96408442661585","2"
"56","2276","0.06233374131442","2"
"1","13793","1.55896793677776","3"
"2","1331","0.15043763676148","3"
"4","12606","1.42480604734434","3"
"5","7420","0.83865309148778","3"
"6","109647","12.3929643561133","3"
"8","13317","1.50516754977666","3"
"9","11014","1.24486861855073","3"
"10","2243","0.25351736983923","3"
"11","5282","0.59700345407526","3"
"12","49223","5.56347993562037","3"
"13","25191","2.84723854820333","3"
"15","3454","0.39039188382733","3"
"16","3385","0.38259308823263","3"
"17","40979","4.63169340108866","3"
"18","17573","1.98620630413946","3"
"19","9398","1.06221856520245","3"
"20","8168","0.92319655677523","3"
"21","11065","1.25063294572942","3"
"22","14553","1.64486771434255","3"
"23","3536","0.39966001772248","3"
"24","16859","1.90550572363781","3"
"25","22110","2.49900537099661","3"
"26","29339","3.31607049207009","3"
"27","14981","1.69324285223429","3"
"28","8130","0.91890156789699","3"
"29","18056","2.04079787330234","3"
"30","2504","0.28301716187134","3"
"31","5817","0.65747237643995","3"
"32","5073","0.57338101524495","3"
"33","3448","0.38971372768866","3"
"34","28206","3.18801200788469","3"
"35","5359","0.60570645785485","3"
"36","73197","8.27316581369694","3"
"37","23166","2.61836085140242","3"
"38","1991","0.22503481201511","3"
"39","35281","3.98767112139899","3"
"40","10746","1.21457764435683","3"
"41","9468","1.07013038682026","3"
"42","40416","4.56805975007685","3"
"44","3058","0.34563357867515","3"
"45","11538","1.30409425466119","3"
"46","2206","0.2493354069841","3"
"47","17655","1.99547443803461","3"
"48","67092","7.58314194260086","3"
"49","5556","0.62797258440783","3"
"50","1790","0.20231658136969","3"
"51","22124","2.50058773532018","3"
"53","16058","1.81497187912545","3"
"54","4726","0.53416098522523","3"
"55","14087","1.59219758757256","3"
"56","1537","0.17372099752246","3"
"1","39247","1.27742025358974","4"
"2","5692","0.18526450641916","4"
"4","44298","1.44182134668938","4"
"5","21188","0.68963182747877","4"
"6","367984","11.9772266567372","4"
"8","50948","1.65826705429434","4"
"9","45433","1.47876358400241","4"
"10","8793","0.28619655743915","4"
"11","28733","0.93520819798695","4"
"12","153108","4.98339389473382","4"
"13","76643","2.49459373954388","4"
"15","12278","0.39962712751483","4"
"16","10982","0.3574446257019","4"
"17","145640","4.74032373768212","4"
"18","60146","1.95764564355004","4"
"19","34507","1.12314165899613","4"
"20","30669","0.9982215648927","4"
"21","35973","1.17085735934934","4"
"22","43280","1.40868725190114","4"
"23","13719","0.44652912220036","4"
"24","66204","2.15482280094415","4"
"25","101267","3.29606127398967","4"
"26","103956","3.38358345560617","4"
"27","58095","1.89088923057294","4"
"28","22751","0.74050470582261","4"
"29","60200","1.95940324779225","4"
"30","9375","0.30513962538292","4"
"31","19496","0.63456022788966","4"
"32","14268","0.46439809866278","4"
"33","13486","0.43894538537751","4"
"34","100318","3.26517300684424","4"
"35","18417","0.59944069127225","4"
"36","265977","8.65707969498405","4"
"37","76822","2.50041987212452","4"
"38","7919","0.25774940729679","4"
"39","127938","4.16415502850573","4"
"40","33261","1.08258656851857","4"
"41","35837","1.16643080051712","4"
"42","142263","4.63040837609085","4"
"44","12700","0.4133624791854","4"
"45","34632","1.12721018733457","4"
"46","7938","0.25836782360423","4"
"47","53679","1.74715626143256","4"
"48","204932","6.67017319562395","4"
"49","21704","0.70642671245985","4"
"50","7239","0.23561661313568","4"
"51","82199","2.67543168713082","4"
"53","62490","2.03393868695245","4"
"54","18062","0.58788607079109","4"
"55","54590","1.7768076959631","4"
"56","5088","0.16560537748782","4"
"1","17705","1.61759076278472","5"
"2","6812","0.62236816018579","5"
"4","18530","1.692965650065","5"
