"State","Year","obs","perc_job/ind","ind"
"27","2010","1246","0.21098653987154","1"
"27","2017","939","0.15900189481491","1"
"28","1960","5571","0.94334351013192","1"
"28","1980","909","0.15392196207322","1"
"28","1990","1970","0.33358225003767","1"
"28","2000","1694","0.28684686881412","1"
"28","2010","234","0.03962347538518","1"
"28","2017","163","0.02760096789651","1"
"29","1960","6565","1.11165861497327","1"
"29","1980","1961","0.33205827021516","1"
"29","1990","4171","0.70627998218636","1"
"29","2000","3770","0.6383782145391","1"
"29","2010","541","0.09160812044181","1"
"29","2017","574","0.09719604645767","1"
"30","1960","1788","0.30276399140475","1"
"30","1980","758","0.12835296727337","1"
"30","1990","1930","0.32680900638208","1"
"30","2000","1966","0.33290492567211","1"
"30","2010","412","0.06976440965254","1"
"30","2017","380","0.06434581472807","1"
"31","1960","4852","0.82159445542274","1"
"31","1980","1801","0.30496529559281","1"
"31","1990","3848","0.6515860396675","1"
"31","2000","4019","0.68054165629513","1"
"31","2010","575","0.09736537754906","1"
"31","2017","572","0.09685738427489","1"
"32","1960","223","0.03776083337989","1"
"32","1980","141","0.02387568388594","1"
"32","1990","654","0.11074253376885","1"
"32","2000","276","0.04673538122355","1"
"32","2010","49","0.00829722347809","1"
"32","2017","59","0.00999053439199","1"
"33","1960","288","0.04876735432022","1"
"33","1980","123","0.02082772424093","1"
"33","1990","494","0.0836495591465","1"
"33","2000","365","0.06180584835723","1"
"33","2010","66","0.01117585203171","1"
"33","2017","81","0.01371581840256","1"
"34","1960","1545","0.26161653619706","1"
"34","1980","489","0.08280290368955","1"
"34","1990","2101","0.35576462300972","1"
"34","2000","621","0.10515460775299","1"
"34","2010","132","0.02235170406343","1"
"34","2017","158","0.02675431243956","1"
"35","1960","917","0.15527661080433","1"
"35","1980","392","0.06637778782475","1"
"35","1990","1174","0.19879470129148","1"
"35","2000","1091","0.18474022070614","1"
"35","2010","180","0.03047959645014","1"
"35","2017","137","0.02319835952038","1"
"36","1960","5143","0.87086980301714","1"
"36","1980","1804","0.30547328886698","1"
"36","1990","7038","1.19175222120059","1"
"36","2000","4036","0.68342028484876","1"
"36","2010","722","0.12225704798335","1"
"36","2017","671","0.11362116232247","1"
"37","1960","8872","1.50230544280927","1"
"37","1980","1923","0.32562368874236","1"
"37","1990","4414","0.74742743739406","1"
"37","2000","2813","0.47632836007917","1"
"37","2010","541","0.09160812044181","1"
"37","2017","503","0.08517353896901","1"
"38","1960","2890","0.48936685411618","1"
"38","1980","944","0.15984855027186","1"
"38","1990","1944","0.32917964166154","1"
"38","2000","1687","0.28566155117439","1"
"38","2010","331","0.05604859124998","1"
"38","2017","366","0.06197517944862","1"
"39","1960","5500","0.93132100264325","1"
"39","1980","1815","0.30733593087227","1"
"39","1990","4593","0.77773770275281","1"
"39","2000","2569","0.43501157378009","1"
"39","2010","327","0.05537126688442","1"
"39","2017","424","0.07179638274922","1"
"40","1960","3322","0.56251788559652","1"
"40","1980","1054","0.17847497032472","1"
"40","1990","2792","0.47277240715999","1"
"40","2000","2662","0.45075936527933","1"
"40","2010","397","0.0672244432817","1"
"40","2017","364","0.06163651726584","1"
"41","1960","2133","0.36118321793419","1"
"41","1980","1089","0.18440155852336","1"
"41","1990","3572","0.60485065844394","1"
"41","2000","3120","0.52831300513581","1"
"41","2010","582","0.09855069518879","1"
"41","2017","626","0.10600126320994","1"
"42","1960","4693","0.79467081189178","1"
"42","1980","1725","0.2920961326472","1"
"42","1990","6206","1.05086875316437","1"
"42","2000","4107","0.69544279233742","1"
"42","2010","710","0.12022507488667","1"
"42","2017","684","0.11582246651054","1"
"44","1960","167","0.02827829226207","1"
"44","1980","78","0.01320782512839","1"
"44","1990","263","0.04453407703548","1"
"44","2000","98","0.01659444695618","1"
"44","2010","10","0.00169331091389","1"
"44","2017","18","0.00304795964501","1"
"45","1960","3882","0.65734329677475","1"
"45","1980","731","0.12378102780585","1"
"45","1990","1583","0.26805111766986","1"
"45","2000","1068","0.18084560560418","1"
